step,epoch,loss,eval_loss
10,0.2962962962962963,4.148262405395508,3.7736246585845947
20,0.5925925925925926,3.160027503967285,2.5010461807250977
30,0.8888888888888888,1.9196352005004882,1.3593446016311646
40,1.1777777777777778,0.9370039939880371,0.7296118140220642
50,1.474074074074074,0.47034225463867185,0.4988996684551239
60,1.7703703703703704,0.2699319839477539,0.39134758710861206
70,2.0592592592592593,0.24568707942962648,0.29557880759239197
80,2.3555555555555556,0.15820212364196778,0.2411506623029709
90,2.651851851851852,0.15725531578063964,0.2263321727514267
100,2.948148148148148,0.1364925980567932,0.22393754124641418
102,3.0,,0.22415246069431305
